ID;Gender;Folder name;Emotion number;Emotion name;AUs (Database info);Neutral expression - file name;Expression Apex - file name;Not Classified;;;;;;;;;;;;;;;;;;;
S056;M;3;7;#NOME?;1, 2, 5, 10, 16, 25, 27;S056_003_00000001;S056_003_00000010; ;;;;;;;;;;;;;;;;;;;
S056;M;4;5;#NOME?;12, 25;S056_004_00000001;S056_004_00000020; ;;;;;;;;;;;;;;;;;;;
S058;M;1;7;#NOME?;1, 2, 5, 25, 27;S058_001_00000001;S058_001_00000020; ;;;;;;;;;;;;;;;;;;;
S058;M;2;-;#NOME?;12, 16, 25;S058_002_00000001;S058_002_00000022;X;;;;;;;;;;;;;;;;;;;
S058;M;3;-;#NOME?;4, 15, 17;S058_003_00000001;S058_003_00000015;X;;;;;;;;;;;;;;;;;;;
S058;M;5;1;#NOME?;4, 14, 17, 24;S058_005_00000001;S058_005_00000010; ;;;;;;;;;;;;;;;;;;;
S058;M;6;3;#NOME?;9, 17;S058_006_00000001;S058_006_00000018; ;;;;;;;;;;;;;;;;;;;
S062;M;1;4;#NOME?;1, 2, 5, 20, 25;S062_001_00000001;S062_001_00000017; ;;;;;;;;;;;;;;;;;;;
S062;M;2;7;#NOME?;1, 2, 5, 25, 27;S062_002_00000001;S062_002_00000016; ;;;;;;;;;;;;;;;;;;;
S062;M;3;-;#NOME?;15, 17, 43;S062_003_00000001;S062_003_00000024;X;;;;;;;;;;;;;;;;;;;
S062;M;4;5;#NOME?;6, 12, 25;S062_004_00000001;S062_004_00000024; ;;;;;;;;;;;;;;;;;;;
S062;M;5;3;#NOME?;6, 9, 12, 17;S062_005_00000001;S062_005_00000029; ;;;;;;;;;;;;;;;;;;;
S063;M;1;7;#NOME?;1, 2, 5, 25, 27;S063_001_00000001;S063_001_00000013; ;;;;;;;;;;;;;;;;;;;
S063;M;2;5;#NOME?;6, 12;S063_002_00000001;S063_002_00000023; ;;;;;;;;;;;;;;;;;;;
S064;M;1;7;#NOME?;1, 2, 5, 25, 27;S064_001_00000001;S064_001_00000012; ;;;;;;;;;;;;;;;;;;;
S064;M;2;-;#NOME?;1, 17, 23, 24, 31;S064_002_00000001;S064_002_00000029;X;;;;;;;;;;;;;;;;;;;
S064;M;3;5;#NOME?;6, 12, 25, 26;S064_003_00000001;S064_003_00000025; ;;;;;;;;;;;;;;;;;;;
S064;M;4;6;#NOME?;1, 15;S064_004_00000001;S064_004_00000014; ;;;;;;;;;;;;;;;;;;;
S073;M;1;7;#NOME?;1, 2, 5, 25, 26;S073_001_00000001;S073_001_00000013; ;;;;;;;;;;;;;;;;;;;
S073;M;2;-;#NOME?;12, 25, 26;S073_002_00000001;S073_002_00000029;X;;;;;;;;;;;;;;;;;;;
S073;M;3;-;#NOME?;15, 17, 24;S073_003_00000001;S073_003_00000028;X;;;;;;;;;;;;;;;;;;;
S073;M;4;-;#NOME?;25;S073_004_00000001;S073_004_00000014;X;;;;;;;;;;;;;;;;;;;
S073;M;5;-;#NOME?;11, 20, 25;S073_005_00000001;S073_005_00000021;X;;;;;;;;;;;;;;;;;;;
S073;M;6;3;#NOME?;4, 6, 7, 9, 17, 38;S073_006_00000001;S073_006_00000014; ;;;;;;;;;;;;;;;;;;;
S075;M;1;-;#NOME?;1, 2, 15, 17, 24;S075_001_00000001;S075_001_00000013;X;;;;;;;;;;;;;;;;;;;
S075;M;2;7;#NOME?;1, 2, 5, 25, 27;S075_002_00000001;S075_002_00000014; ;;;;;;;;;;;;;;;;;;;
S075;M;3;-;#NOME?;15, 17, 23;S075_003_00000001;S075_003_00000004;X;;;;;;;;;;;;;;;;;;;
S075;M;4;-;#NOME?;25;S075_004_00000001;S075_004_00000012;X;;;;;;;;;;;;;;;;;;;
S075;M;5;3;#NOME?;4, 6, 7, 9, 17;S075_005_00000001;S075_005_00000012; ;;;;;;;;;;;;;;;;;;;
S075;M;6;5;#NOME?;6, 12, 25;S075_006_00000001;S075_006_00000025; ;;;;;;;;;;;;;;;;;;;
S075;M;7;-;#NOME?;4, 5, 11, 12, 16, 20, 25;S075_007_00000001;S075_007_00000022;X;;;;;;;;;;;;;;;;;;;
S075;M;8;1;#NOME?;4, 12, 14, 24;S075_008_00000001;S075_008_00000012; ;;;;;;;;;;;;;;;;;;;
S081;M;1;7;#NOME?;1, 2, 25, 27;S081_001_00000001;S081_001_00000019; ;;;;;;;;;;;;;;;;;;;
S081;M;2;6;#NOME?;1, 2, 4, 15, 17;S081_002_00000001;S081_002_00000024; ;;;;;;;;;;;;;;;;;;;
S081;M;3;-;#NOME?;15, 17;S081_003_00000001;S081_003_00000025;X;;;;;;;;;;;;;;;;;;;
S081;M;4;-;#NOME?;25;S081_004_00000001;S081_004_00000015;X;;;;;;;;;;;;;;;;;;;
S081;M;5;-;#NOME?;6, 12, 20, 25;S081_005_00000001;S081_005_00000019;X;;;;;;;;;;;;;;;;;;;
S081;M;8;3;#NOME?;9, 24;S081_008_00000001;S081_008_00000011; ;;;;;;;;;;;;;;;;;;;
S082;M;1;7;#NOME?;1, 2, 5, 25, 27;S082_001_00000001;S082_001_00000015; ;;;;;;;;;;;;;;;;;;;
S082;M;2;-;#NOME?;15, 17;S082_002_00000001;S082_002_00000025;X;;;;;;;;;;;;;;;;;;;
S082;M;3;-;#NOME?;15, 17;S082_003_00000001;S082_003_00000018;X;;;;;;;;;;;;;;;;;;;
S082;M;4;-;#NOME?;25;S082_004_00000001;S082_004_00000013;X;;;;;;;;;;;;;;;;;;;
S082;M;5;1;#NOME?;4, 7, 9, 17, 23, 24, 31;S082_005_00000001;S082_005_00000017; ;;;;;;;;;;;;;;;;;;;
S082;M;6;-;#NOME?;4, 5, 7, 20, 25, 38;S082_006_00000001;S082_006_00000021;X;;;;;;;;;;;;;;;;;;;
S082;M;7;3;#NOME?;4, 6, 7, 9, 17;S082_007_00000001;S082_007_00000010; ;;;;;;;;;;;;;;;;;;;
S083;M;1;-;#NOME?;15, 17, 45;S083_001_00000001;S083_001_00000018;X;;;;;;;;;;;;;;;;;;;
S083;M;2;-;#NOME?;25;S083_002_00000001;S083_002_00000012;X;;;;;;;;;;;;;;;;;;;
S083;M;3;5;#NOME?;6, 12, 25;S083_003_00000001;S083_003_00000019; ;;;;;;;;;;;;;;;;;;;
S083;M;4;-;#NOME?;6, 7, 11, 20, 25;S083_004_00000001;S083_004_00000010;X;;;;;;;;;;;;;;;;;;;
S088;M;1;7;#NOME?;1, 2, 25, 27;S088_001_00000001;S088_001_00000017; ;;;;;;;;;;;;;;;;;;;
S088;M;2;-;#NOME?;1, 4, 6, 7, 11, 20, 25;S088_002_00000001;S088_002_00000017;X;;;;;;;;;;;;;;;;;;;
S088;M;3;-;#NOME?;25, 26;S088_003_00000001;S088_003_00000018;X;;;;;;;;;;;;;;;;;;;
S088;M;4;3;#NOME?;4, 6, 9, 17, 38;S088_004_00000001;S088_004_00000020; ;;;;;;;;;;;;;;;;;;;
S089;M;1;7;#NOME?;1, 2, 5, 25, 27;S089_001_00000001;S089_001_00000016; ;;;;;;;;;;;;;;;;;;;
S089;M;2;5;#NOME?;6, 12, 25;S089_002_00000001;S089_002_00000021; ;;;;;;;;;;;;;;;;;;;
S089;M;3;1;#NOME?;4, 6, 7, 10, 17, 18, 23, 24, 43;S089_003_00000001;S089_003_00000036; ;;;;;;;;;;;;;;;;;;;
S092;M;1;7;#NOME?;1, 2, 25, 27;S092_001_00000001;S092_001_00000017; ;;;;;;;;;;;;;;;;;;;
S092;M;2;-;#NOME?;2, 26, 45;S092_002_00000001;S092_002_00000011;X;;;;;;;;;;;;;;;;;;;
S092;M;3;1;#NOME?;4, 7, 17, 18, 23, 24;S092_003_00000001;S092_003_00000014; ;;;;;;;;;;;;;;;;;;;
S092;M;4;5;#NOME?;6, 12, 25;S092_004_00000001;S092_004_00000024; ;;;;;;;;;;;;;;;;;;;
S093;M;1;6;#NOME?;1, 4, 15, 17, 45;S093_001_00000001;S093_001_00000020; ;;;;;;;;;;;;;;;;;;;
S093;M;2;-;#NOME?;1, 4, 7, 16, 20, 25, 45;S093_002_00000001;S093_002_00000024;X;;;;;;;;;;;;;;;;;;;
S093;M;3;-;#NOME?;25;S093_003_00000001;S093_003_00000012;X;;;;;;;;;;;;;;;;;;;
S093;M;4;5;#NOME?;6, 12, 25, 26;S093_004_00000001;S093_004_00000016; ;;;;;;;;;;;;;;;;;;;
S096;M;1;7;#NOME?;1, 2, 5, 25, 27;S096_001_00000001;S096_001_00000007; ;;;;;;;;;;;;;;;;;;;
S096;M;2;-;#NOME?;25;S096_002_00000001;S096_002_00000006;X;;;;;;;;;;;;;;;;;;;
S096;M;3;3;#NOME?;7, 9, 17;S096_003_00000001;S096_003_00000012; ;;;;;;;;;;;;;;;;;;;
S096;M;4;5;#NOME?;6, 12, 25;S096_004_00000001;S096_004_00000011; ;;;;;;;;;;;;;;;;;;;
S097;M;1;7;#NOME?;1, 2, 25, 27;S097_001_00000001;S097_001_00000021; ;;;;;;;;;;;;;;;;;;;
S097;M;2;-;#NOME?;25;S097_002_00000001;S097_002_00000009;X;;;;;;;;;;;;;;;;;;;
S097;M;3;-;#NOME?;25, 26;S097_003_00000001;S097_003_00000053;X;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S097;M;4;3;#NOME?;4, 6, 7, 9, 17;S097_004_00000001;S097_004_00000030; ;;;;;;;;;;;;;;;;;;;
S097;M;5;-;#NOME?;4, 6, 7, 11, 20, 25;S097_005_00000001;S097_005_00000010;X;;;;;;;;;;;;;;;;;;;
S097;M;6;5;#NOME?;6, 12, 25;S097_006_00000001;S097_006_00000019; ;;;;;;;;;;;;;;;;;;;
S099;M;1;7;#NOME?;1, 2, 5, 25, 27;S099_001_00000001;S099_001_00000014; ;;;;;;;;;;;;;;;;;;;
S099;M;2;-;#NOME?;11, 16, 20, 25;S099_002_00000001;S099_002_00000020;X;;;;;;;;;;;;;;;;;;;
S099;M;3;-;#NOME?;25, 26;S099_003_00000001;S099_003_00000014;X;;;;;;;;;;;;;;;;;;;
S099;M;4;5;#NOME?;6, 7, 12, 25, 26;S099_004_00000001;S099_004_00000015; ;;;;;;;;;;;;;;;;;;;
S099;M;7;3;#NOME?;9, 24;S099_007_00000001;S099_007_00000012; ;;;;;;;;;;;;;;;;;;;
S101;M;1;-;#NOME?;1, 2, 11, 17, 20, 25;S101_001_00000001;S101_001_00000017;X;;;;;;;;;;;;;;;;;;;
S101;M;2;7;#NOME?;1, 2, 5, 25, 27;S101_002_00000001;S101_002_00000019; ;;;;;;;;;;;;;;;;;;;
S101;M;3;-;#NOME?;1, 4, 7, 17, 23, 20;S101_003_00000001;S101_003_00000025;X;;;;;;;;;;;;;;;;;;;
S101;M;4;-;#NOME?;12, 25;S101_004_00000001;S101_004_00000018;X;;;;;;;;;;;;;;;;;;;
S101;M;5;-;#NOME?;25;S101_005_00000001;S101_005_00000006;X;;;;;;;;;;;;;;;;;;;
S105;M;1;-;#NOME?;10, 15, 17;S105_001_00000001;S105_001_00000014;X;;;;;;;;;;;;;;;;;;;
S105;M;2;-;#NOME?;1, 4, 15, 17;S105_002_00000001;S105_002_00000024;X;;;;;;;;;;;;;;;;;;;
S105;M;3;-;#NOME?;12, 25;S105_003_00000001;S105_003_00000022;X;;;;;;;;;;;;;;;;;;;
S105;M;4;-;#NOME?;12;S105_004_00000001;S105_004_00000027;X;;;;;;;;;;;;;;;;;;;
S105;M;5;-;#NOME?;25;S105_005_00000001;S105_005_00000012;X;;;;;;;;;;;;;;;;;;;
S105;M;6;-;#NOME?;25, 26;S105_006_00000001;S105_006_00000021;X;;;;;;;;;;;;;;;;;;;
S105;M;7;-;#NOME?;4, 7, 9, 23, 38;S105_007_00000001;S105_007_00000030;X;;;;;;;;;;;;;;;;;;;
S105;M;8;3;#NOME?;4, 7, 9, 17;S105_008_00000001;S105_008_00000010; ;;;;;;;;;;;;;;;;;;;
S107;M;1;7;#NOME?;1, 2, 5, 25, 27;S107_001_00000001;S107_001_00000010; ;;;;;;;;;;;;;;;;;;;
S107;M;2;-;#NOME?;12;S107_002_00000001;S107_002_00000017;X;;;;;;;;;;;;;;;;;;;
S107;M;3;-;#NOME?;25, 27;S107_003_00000001;S107_003_00000021;X;;;;;;;;;;;;;;;;;;;
S107;M;4;-;#NOME?;4, 5, 11, 20, 25;S107_004_00000001;S107_004_00000011;X;;;;;;;;;;;;;;;;;;;
S107;M;5;3;#NOME?;4, 7, 9, 10, 17;S107_005_00000001;S107_005_00000011; ;;;;;;;;;;;;;;;;;;;
S107;M;6;-;#NOME?;15, 17, 45;S107_006_00000001;S107_006_00000009;X;;;;;;;;;;;;;;;;;;;
S113;M;1;7;#NOME?;1, 2, 5, 25, 27, 38;S113_001_00000001;S113_001_00000012; ;;;;;;;;;;;;;;;;;;;
S113;M;2;-;#NOME?;1, 4, 7, 11, 20, 25;S113_002_00000001;S113_002_00000019;X;;;;;;;;;;;;;;;;;;;
S113;M;3;6;#NOME?;1, 2, 15, 17;S113_003_00000001;S113_003_00000015; ;;;;;;;;;;;;;;;;;;;
S113;M;4;-;#NOME?;12;S113_004_00000001;S113_004_00000023;X;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S113;M;5;-;#NOME?;15, 17;S113_005_00000001;S113_005_00000008;X;;;;;;;;;;;;;;;;;;;
S113;M;6;-;#NOME?;25, 43;S113_006_00000001;S113_006_00000021;X;;;;;;;;;;;;;;;;;;;
S113;M;7;-;#NOME?;25, 26, 43;S113_007_00000001;S113_007_00000042;X;;;;;;;;;;;;;;;;;;;
S113;M;8;1;#NOME?;4, 7, 17, 23, 24, 31;S113_008_00000001;S113_008_00000023; ;;;;;;;;;;;;;;;;;;;
S116;M;1;7;#NOME?;1, 2, 20, 25, 27;S116_001_00000001;S116_001_00000014; ;;;;;;;;;;;;;;;;;;;
S116;M;2;-;#NOME?;12;S116_002_00000001;S116_002_00000008;X;;;;;;;;;;;;;;;;;;;
S116;M;3;-;#NOME?;25;S116_003_00000001;S116_003_00000004;X;;;;;;;;;;;;;;;;;;;
S116;M;4;-;#NOME?;25, 26;S116_004_00000001;S116_004_00000015;X;;;;;;;;;;;;;;;;;;;
S116;M;5;-;#NOME?;15, 17;S116_005_00000001;S116_005_00000017;X;;;;;;;;;;;;;;;;;;;
S116;M;6;3;#NOME?;4, 6, 7, 9, 17;S116_006_00000001;S116_006_00000007; ;;;;;;;;;;;;;;;;;;;
S116;M;7;5;#NOME?;6, 12, 25;S116_007_00000001;S116_007_00000017; ;;;;;;;;;;;;;;;;;;;
S118;M;1;-;#NOME?;1, 20, 25;S118_001_00000001;S118_001_00000016;X;;;;;;;;;;;;;;;;;;;
S118;M;2;-;#NOME?;12, 25;S118_002_00000001;S118_002_00000012;X;;;;;;;;;;;;;;;;;;;
S118;M;3;-;#NOME?;15, 17;S118_003_00000001;S118_003_00000014;X;;;;;;;;;;;;;;;;;;;
S118;M;4;-;#NOME?;16, 20, 25;S118_004_00000001;S118_004_00000012;X;;;;;;;;;;;;;;;;;;;
S118;M;5;-;#NOME?;4, 15, 17;S118_005_00000001;S118_005_00000026;X;;;;;;;;;;;;;;;;;;;
S118;M;6;-;#NOME?;4, 9, 17, 25;S118_006_00000001;S118_006_00000015;X;;;;;;;;;;;;;;;;;;;
S119;M;1;7;#NOME?;1, 2, 5, 25, 27;S119_001_00000001;S119_001_00000011; ;;;;;;;;;;;;;;;;;;;
S119;M;2;-;#NOME?;1, 17;S119_002_00000001;S119_002_00000024;X;;;;;;;;;;;;;;;;;;;
S119;M;3;4;#NOME?;1, 4, 5, 20, 25, 26;S119_003_00000001;S119_003_00000024; ;;;;;;;;;;;;;;;;;;;
S119;M;4;-;#NOME?;1, 15, 17;S119_004_00000001;S119_004_00000014;X;;;;;;;;;;;;;;;;;;;
S119;M;5;-;#NOME?;12;S119_005_00000001;S119_005_00000017;X;;;;;;;;;;;;;;;;;;;
S119;M;6;-;#NOME?;25;S119_006_00000001;S119_006_00000016;X;;;;;;;;;;;;;;;;;;;
S119;M;7;-;#NOME?;25, 26;S119_007_00000001;S119_007_00000014;X;;;;;;;;;;;;;;;;;;;
S119;M;8;1;#NOME?;7, 17, 23, 24, 38;S119_008_00000001;S119_008_00000018; ;;;;;;;;;;;;;;;;;;;
S120;M;1;-;#NOME?;15, 17;S120_001_00000001;S120_001_00000014;X;;;;;;;;;;;;;;;;;;;
S120;M;2;-;#NOME?;4, 7, 15, 17, 29, 39, 45;S120_002_00000001;S120_002_00000020;X;;;;;;;;;;;;;;;;;;;
S126;M;1;-;#NOME?;4, 15, 17, 29;S126_001_00000001;S126_001_00000037;X;;;;;;;;;;;;;;;;;;;
S126;M;2;-;#NOME?;4, 7, 15, 17;S126_002_00000001;S126_002_00000021;X;;;;;;;;;;;;;;;;;;;
S126;M;4;7;#NOME?;1, 2, 5, 25, 27;S126_004_00000001;S126_004_00000012; ;;;;;;;;;;;;;;;;;;;
S126;M;8;1;#NOME?;4, 6, 7, 17, 18;S126_008_00000001;S126_008_00000029; ;;;;;;;;;;;;;;;;;;;
S131;M;1;7;#NOME?;1, 2, 5, 25, 27;S131_001_00000001;S131_001_00000016; ;;;;;;;;;;;;;;;;;;;
S131;M;2;-;#NOME?;1, 4, 7, 15, 17;S131_002_00000001;S131_002_00000024;X;;;;;;;;;;;;;;;;;;;
S131;M;3;6;#NOME?;1, 4, 7, 15, 17;S131_003_00000001;S131_003_00000024; ;;;;;;;;;;;;;;;;;;;
S131;M;4;-;#NOME?;25, 26;S131_004_00000001;S131_004_00000005;X;;;;;;;;;;;;;;;;;;;
S131;M;5;-;#NOME?;25, 26;S131_005_00000001;S131_005_00000010;X;O RAPAZ ESTÁ PISCANDO NAS PRIMEIRAS IMAGENS;;;;;;;;;;;;;;;;;;
S131;M;6;5;#NOME?;6, 12, 25;S131_006_00000001;S131_006_00000022; ;;;;;;;;;;;;;;;;;;;
S131;M;7;-;#NOME?;6, 12;S131_007_00000001;S131_007_00000014;X;;;;;;;;;;;;;;;;;;;
S131;M;10;3;#NOME?;4, 9, 10, 17;S131_010_00000001;S131_010_00000018; ;;;;;;;;;;;;;;;;;;;
S132;M;1;-;#NOME?;10, 15, 17;S132_001_00000001;S132_001_00000011;X;;;;;;;;;;;;;;;;;;;
S132;M;2;6;#NOME?;1, 4, 15, 17;S132_002_00000001;S132_002_00000018; ;;;;;;;;;;;;;;;;;;;
S132;M;3;4;#NOME?;1, 4, 6, 12, 20, 25;S132_003_00000001;S132_003_00000023; ;;;;;;;;;;;;;;;;;;;
S132;M;4;-;#NOME?;25, 26, 45;S132_004_00000001;S132_004_00000015;X;;;;;;;;;;;;;;;;;;;
S132;M;5;3;#NOME?;4, 7, 9, 17;S132_005_00000001;S132_005_00000016; ;;;;;;;;;;;;;;;;;;;
S132;M;6;5;#NOME?;6, 12, 25;S132_006_00000001;S132_006_00000023; ;;;;;;;;;;;;;;;;;;;
S132;M;7;-;#NOME?;6, 12;S132_007_00000001;S132_007_00000019;X;;;;;;;;;;;;;;;;;;;
S132;M;8;7;#NOME?;1, 2, 5, 25, 26;S132_008_00000001;S132_008_00000010; ;;;;;;;;;;;;;;;;;;;
S134;M;1;-;#NOME?;25;S134_001_00000001;S134_001_00000023;X;;;;;;;;;;;;;;;;;;;
S134;M;2;-;#NOME?;25, 27;S134_002_00000001;S134_002_00000017;X;;;;;;;;;;;;;;;;;;;
S134;M;3;1;#NOME?;4, 7, 17, 23, 24;S134_003_00000001;S134_003_00000011; ;;;;;;;;;;;;;;;;;;;
S134;M;4;5;#NOME?;6, 12, 25;S134_004_00000001;S134_004_00000015; ;;;;;;;;;;;;;;;;;;;
S134;M;8;3;#NOME?;9, 25;S134_008_00000001;S134_008_00000013; ;;;;;;;;;;;;;;;;;;;
S135;M;1;7;#NOME?;1, 2, 5, 25, 27;S135_001_00000001;S135_001_00000039; ;;;;;;;;;;;;;;;;;;;
S135;M;2;-;#NOME?;12;S135_002_00000001;S135_002_00000019;X;;;;;;;;;;;;;;;;;;;
S135;M;3;-;#NOME?;25;S135_003_00000001;S135_003_00000013;X;;;;;;;;;;;;;;;;;;;
S135;M;4;-;#NOME?;25, 27;S135_004_00000001;S135_004_00000016;X;;;;;;;;;;;;;;;;;;;
S135;M;12;5;#NOME?;13, 25;S135_012_00000001;S135_012_00000020; ;;;;;;;;;;;;;;;;;;;
S137;M;1;7;#NOME?;1, 2, 5, 25, 27;S137_001_00000001;S137_001_00000014; ;;;;;;;;;;;;;;;;;;;
S137;M;2;-;#NOME?;12;S137_002_00000001;S137_002_00000015;X;;;;;;;;;;;;;;;;;;;
S137;M;3;-;#NOME?;25;S137_003_00000001;S137_003_00000007;X;;;;;;;;;;;;;;;;;;;
S137;M;4;-;#NOME?;25, 26;S137_004_00000001;S137_004_00000006;X;;;;;;;;;;;;;;;;;;;
S137;M;5;6;#NOME?;1, 4, 17, 23;S137_005_00000001;S137_005_00000027; ;;;;;;;;;;;;;;;;;;;
S137;M;11;5;#NOME?;12, 25;S137_011_00000001;S137_011_00000020; ;;;;;;;;;;;;;;;;;;;
S147;M;2;2;#NOME?;12, 14;S147_002_00000001;S147_002_00000013; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S151;M;2;2;#NOME?;12, 14, 24;S151_002_00000001;S151_002_00000029; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S160;M;6;2;#NOME?;1, 2, 4, 15, 17, 23;S160_006_00000001;S160_006_00000010; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S502;M;1;1;#NOME?;4, 5, 17, 23, 38;S502_001_00000001;S502_001_00000016; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S502;M;2;2;#NOME?;14;S502_002_00000001;S502_002_00000009; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S502;M;4;4;#NOME?;1, 4, 5, 14, 16, 20, 25, 38;S502_004_00000001;S502_004_00000052; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S504;M;1;1;#NOME?;4, 5, 9, 15, 17, 23, 30;S504_001_00000001;S504_001_00000022; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S504;M;2;2;#NOME?;14;S504_002_00000001;S504_002_00000009; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S504;M;4;4;#NOME?;1, 2, 4, 5, 14, 17, 20, 25, 26;S504_004_00000001;S504_004_00000015; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S504;M;6;6;#NOME?;1, 2, 4, 15, 17;S504_006_00000001;S504_006_00000018; ;IMAGENS COLORIDAS / PRIMEIRAS IMAGENS COM OLHOS FECHADOS;;;;;;;;;;;;;;;;;;
S505;M;2;2;#NOME?;14;S505_002_00000001;S505_002_00000021; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S505;M;6;6;#NOME?;1, 4, 15, 17, 38;S505_006_00000001;S505_006_00000019; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S506;M;1;1;#NOME?;5, 6, 7, 17, 23;S506_001_00000001;S506_001_00000040; ;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
